"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Duke's Tavern","Found","Durham Hotel & Motel (use side entrance or thru lobby)","","","Durham","NC","","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA
"Duke's Tavern","Found","(Jack Tar Hotel - use side entrance)","","","Durham","NC","","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Endicott Club","General City Coordinates Used","","","","Durham","NC","(P)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Duke's Tavern Jack Tar Hotel","Found","(use side entrance)","","","Durham","NC","","Bars/Clubs,Hotels",1969,NA,NA,NA,NA,NA
"Duke's Tavern","Found","Jack Tar Hotel","","","Durham","NC","(M)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Duke's Tavern ","Found","Jack Tar Hotel
","","","Durham","NC","(M)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"Dukes Tavern","Found","Jack Tar Hotel","","","Durham","NC","(M)","Bars/Clubs,Hotels",1965,NA,NA,NA,NA,NA
"Chapel Hill St. nr. book store","General City Coordinates Used","","","","Durham","NC","Cruisy Area","Book Store,Cruising Areas",1979,NA,NA,NA,NA,NA
"Duke’s Tavern ","Found","Jack Tar Hotel-use side entrance","Corcoran & Chapel","","Durham","NC","(*)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Endicott Club ","General City Coordinates Used","(on Hwy. 70 bet. Raleigh &Durham)","1 mi. W. of airport","","Durham","NC","(P)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Duke’s Tavern","Found","","Corcoran & Chapel ","","Durham","NC","(*)","Bars/Clubs,Hotels",1973,NA,NA,NA,NA,NA
"Duke's Tavern","Found","Jack Tar Hotel (use side entrance)","Corcoran & Chapel","","Durham","NC","","Bars/Clubs,Hotels",1970,NA,NA,NA,NA,NA
"Duke's Tavern","Found","(side entrance) Durham Hotel","Corcoran & Chapel","","Durham","NC","(OC)","Bars/Clubs,Hotels",1976,NA,NA,NA,NA,NA
"Block around Swingers Book Store ","Found","","","","Durham","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Blueberry Hill ","Found","(Disco) (Closed Tues.) ","On Durham – Chapel Hill Blvd. opp. South Square Mall","Approximate location based on directions.","Durham","NC","(P),(YC),(D),(PT),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Herb’s Lounge ","Found","(Some SM)","228 Hunt Street off Foster ","","Durham","NC","(OC),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Duke's Tavern","Found","Durham Hotel","Corcon & Chapel","","Durham","NC","","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"
  Herb’s Lounge 
  ","Found","(Cruisy) (Some OC, SM) ","228 Hunt St. off Foster ","","Durham","NC","(*),(OC)","Bars/Clubs,Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Blueberry Hill 
  ","Found","(Disco) (Adm.) (Closed Tuesdays) (US 15) ","On University Dr. opp. South Square Mall ","approximate","Durham","NC","(*),(P),(YC),(D)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"
  Area near book
  stores 
  ","General City Coordinates Used","","","","Durham","NC","Cruisy Area","Cruising Areas,Book Store",1978,NA,NA,NA,NA,NA
"Duke U. ","Found","Page Auditorium T-Room","","","Durham","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Chapel Hill St. nr. bookstore","General City Coordinates Used","","","","Durham","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Truck stops along I-95","General City Coordinates Used","","","","Fayetteville","SC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Trailsways Bus Depot","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"‘Truck Stops’ along I-95","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Hay St. ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"'Truck Stops' along I-95","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Hay Street","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"‘Truck Stops’ along I-95","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Trailways Bus Depot ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Hay Street ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Truck Stops along I-95","General City Coordinates Used","","","","Fayetteville","SC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Hay Street (Hayseeds?)","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Hay St. ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Trailways Bus Depot ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Shanty
  ","Found","Prince Charles Hotel ","430 Hay St. ","","Fayetteville","NC","(M),(*)","Hotels,Bars/Clubs",1978,NA,NA,NA,NA,NA
"
  Brass Monkey 
  ","Found","Inquire locally ","","","Fayetteville","AK","(M),(YC)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"
  42nd
  Street Disco 
  ","Found","Inquire locally (Disco) ","","","Fayetteville","AK","(M),(YC),(D),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"‘Truck Stops’ along I-95 ","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Trailways Bus Depot","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Hay St.","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Sambo's","Found","","","","Fayetteville","AR","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA
"'Truck Stops' along I-95","General City Coordinates Used","","","","Fayetteville","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"
  N. C. S. U. –
  Harrell Hall T-Room 
  ","Found","","","This building was demonlished in 2016. Approximate location.","Raleigh","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Block in front of Holiday Inn – Downtown 
  ","General City Coordinates Used","","","","Raleigh","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Queen Bee","Found","","138 Martin at McDowell","","Raleigh","NC","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"
  Round Bldg. – N.C. State Campus
  ","Found","","","General university coordinates.","Raleigh","NC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Queen Bee","Found","Park Central Hotel","137 Martin at McDowell","","Raleigh","NC","(M)","Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"Harrell Hall T-Rooms – N.C. State U. ","Found","","","This building was demonlished in 2016. Approximate location.","Raleigh","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Block in front of Holiday Inn ","General City Coordinates Used","(Downtown) ","","","Raleigh","NC","Cruisy Area","Cruising Areas,Hotels",1978,NA,NA,NA,NA,NA
"N.C.S.U. ","Found","Harrell Hall T-Room
","","This building was demonlished in 2016. Approximate location.","Raleigh","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Block in front of Holiday Inn- Downtown","General City Coordinates Used","","","","Raleigh","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Club One-O-Two","Found","","","","Wilmington","NC","(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Wit's End","Found","Wrightsville Beach","","","Wilmington","NC","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Wits End ","Found","","","","Wilmington","NC","","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Wits End ","Found","","","","Wilmington","NC","","Bars/Clubs",1966,NA,NA,NA,NA,NA
"
  Wrightsville Beach
  – N. end
  ","General City Coordinates Used","","","General coordinates from Wrightsville Beach.","Wilmington","NC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Sambo’s 
  ","General City Coordinates Used","","Market St. nr. Holiday Inn","","Wilmington","NC","(M),(R),(C),(AH)","Restaurant",1979,NA,NA,NA,NA,NA
"Club One-O-Two","Found","","110 S. Front St. -bet. Dock & Orange","","Wilmington","NC","(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Club One-O-Two","Found","","110 S. Front St. – bet. Dock & Orange","","Wilmington","NC","(M),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Club One-O-Two","Found","","Front St., between Dock & Orange","","Wilmington","NC","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"
  David’s Lounge 
  ","General City Coordinates Used","(May be opening soon – inquire locally) ","","","Wilmington","NC","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Peppermint Lounge","Found","","Market, between Front & Waterfront","Coordinates for Market and Front.","Wilmington","NC","(YC),(D),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Sambo’s ","General City Coordinates Used","","Market St. nr. Holiday Inn ","","Wilmington","NC","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA
"Wrightsville Beach – No. end","General City Coordinates Used","","","","Wilmington","NC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Wrightsville Beach","General City Coordinates Used","north end.","","","Wilmington","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"U.S.S. N. Carolina Battleship Park & Museum","Found","(Summers)
","","","Wilmington","NC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Hugh McRae Park","Found","","","","Wilmington","NC","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Sambo's","General City Coordinates Used","","Market St. nr. Holiday Inn","","Wilmington","NC","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA
"Whitepoint Gardens","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"The Battery","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Midnight Sun","General City Coordinates Used","(nest to Coffee Cup)
","","","Charleston","SC","","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Coffee Cup","Found","(after hours)","","","Charleston","SC","(M),(R),(C)","Restaurant",1974,NA,NA,NA,NA,NA
"Pat's Lounge","Found","(not bar at corner, but thru back door in adjoining cafe)","","","Charleston","SC","(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"New Yorker","Found","","","","Charleston","SC","(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Forty-Nine Club","General City Coordinates Used","(Inquire locally)","","","Charleston","SC","","Bars/Clubs",1968,NA,NA,NA,NA,NA
"New Yorker","Found","","","","Charleston","SC","(*)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"New Yorker","Found","","","","Charleston","SC","(*)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"New Yorker","Found","","","","Charleston","SC","(*)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"
  Reynolds Ave. nr.
  Naval Yard 
  ","General City Coordinates Used","","","","Charleston","SC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Love Inn
  ","Found","","1668 Hwy. 171 ","","Charleston","SC","(M),(R),(C),(AH)","Restaurant",1979,NA,NA,NA,NA,NA
"
  Coffee Cup 
  ","Found","(‘Greasy spoon’) (Open 24 hrs.) ","Meeting St. at Wentworth ","","Charleston","SC","(M),(R)","Restaurant",1979,NA,NA,NA,NA,NA
"
  Folly Beach
  ","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Lion’s Head Inn
  ","Found","(Semi-P) (Some G) (Disco-D-upstairs)","81 ½ Hasell","","Charleston","SC","(YC)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Pat’s Lounge ","Found","(Not bar on the corner, but thru back in adjoining cafe)","King St. at Market","","Charleston","SC","(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Ashley Ave.","General City Coordinates Used","","","","Charleston","SC","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"‘The Battery’","Found","","","","Charleston","SC","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"New Yorker","Found","","King St. nr Market","","Charleston","SC","(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"The Battery - Whitepoint Gardens","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Reynolds Ave. near Naval Yard","General City Coordinates Used","","","","Charleston","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Folly Beach","Found","","","General Coordinates for Folly Beach, SC.","Charleston","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Coffee Cup","Found","(open 24 hrs)","Meeting St. & Wentworth","","Charleston","SC","(M),(R),(C)","Restaurant",1976,NA,NA,NA,NA,NA
"
  Lions Head Inn 
  ","Found","(Disco) (2 floors) ","81 ½ Hasell","","Charleston","SC","(YC),(D),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"
  Folly Beach 
  ","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"
  Dolphin 
  ","Found","(R – Snacks) ","Wentworth between King & Meeting ","","Charleston","SC","(YC),(PT),(*)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"
  Reynolds Avenue bear Naval Yard 
  ","General City Coordinates Used","","","","Charleston","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"
  Coffee Cup 
  ","Found","(Opens 24 hours) ","Meeting Street & Wentworth ","","Charleston","SC","(M),(R),(C)","Restaurant",1977,NA,NA,NA,NA,NA
"
  The Battery – Whitepoint Gardens 
  ","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Whitepoint Gardens","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Coffee Cup","Found","","Meeting St","","Charleston","SC","(M),(C),(AH)","",1975,NA,NA,NA,NA,NA
"Silver Dollar","Found","","Meeting St. next to Coffee Cup","","Charleston","SC","","Bars/Clubs",1975,NA,NA,NA,NA,NA
"The Battery","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Coffee Cup ","Found","(Open 24 hrs.)","Meeting St. & Wentworth ","","Charleston","SC","(M),(R)","Restaurant",1978,NA,NA,NA,NA,NA
"Reynolds Ave. nr. Naval Yard  ","General City Coordinates Used","","","","Charleston","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Folly Beach ","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"The Battery – Whitepoint Gardens ","Found","","","","Charleston","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Lion’s Head Inn ","Found","(Semi-P) (Show Address Book for adm.) (Disco) (Upstairs)","81 ½ Hasell ","","Charleston","SC","(YC),(*),(PT),(D)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Coffee Cup","Found","('Greasy spoon') (Open 24 hrs.) ","Meeting St. at Wentworth","","Charleston","SC","(M),(R)","Restaurant",1980,NA,NA,NA,NA,NA
"'Primrose Path' - Senate St nr. the Capitol","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Russel House - Univ of SC","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Frenchie's","General City Coordinates Used","(Gal Paree)","","","Columbia","SC","(P),(D)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"U. of S.C. – Russel House & McKissick Library T-Rooms","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Vicinity of Wade Hampton Hotel ","Found","","","See: http://columbiaclosings.com/wordpress/?p=882","Columbia","SC","Cruisy Area","Cruising Areas,Hotels",1979,NA,NA,NA,NA,NA
"Y.M.C.A. ","General City Coordinates Used","","","","Columbia","SC","Cruisy Area,(M),(H)","Hotels,Cruising Areas",1979,NA,NA,NA,NA,NA
"‘Rest Stop’ on I-26 S. ","General City Coordinates Used","","","","Columbia","SC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"‘Primrose Path’ – Senate St. & grounds adj. to the Capitol ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Senate St. by the Capitol","Found","","","","Columbia","SC","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Frenchie’s  ‘Gai Paree’","General City Coordinates Used","","Two Notch Rd. ","","Columbia","SC","","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Russel House at the University ","Found","","","","Columbia","SC","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Russel House – Univ. of S.C.","Found","","","","Columbia","SC","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"‘Primrose Path’ – Senate St. near Capitol","Found","","","","Columbia","SC","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Frenchie's Lounge","General City Coordinates Used","","Tow Notch Rd.","","Columbia","SC","(D),(P)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"U. of South Carolina - McKissick Library and Russel House","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Vicinity of Wade Hampton Hotel","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Vic's Lounge","General City Coordinates Used","(old location on Lady St. was closed . . . will be re-opening on Rosewood Dr.)","","","Columbia","SC","","Bars/Clubs",1976,NA,NA,NA,NA,NA
"'Primrose Path' - Senate St. & Grounds adjacent to the capitol","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Y.M.C.A.","General City Coordinates Used","","Sumter St.","","Columbia","SC","(M),(H)","Hotels",1976,NA,NA,NA,NA,NA
"'Rest area' on I-26 S. of town","General City Coordinates Used","","","","Columbia","SC","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"University of S. Carolina – McKissick Library & Russel House ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Vicinity of Wade Hampton Hotel ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas,Hotels",1977,NA,NA,NA,NA,NA
"“Primsore Path” – Senate Street & ground adjacent to the Capital ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"“Rest Area” on I-26  south of town ","General City Coordinates Used","","","","Columbia","SC","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Y.M.C.A. ","General City Coordinates Used","","Sumter Street ","","Columbia","SC","(M),(H)","Hotels",1977,NA,NA,NA,NA,NA
"Russel House - University of S.C. ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"'Primrose Path' - Senate St. near the Capitol","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"‘Primrose Path’ – Senate St. & grounds adj. to the Capitol ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Y.M.C.A.","General City Coordinates Used","","","","Columbia","SC","Cruisy Area,(M),(H)","Cruising Areas,Hotels",1978,NA,NA,NA,NA,NA
"U. of So. Carolina – Russel House & McKissick Library ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Vicinity of Wade Hampton Hotel ","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas,Hotels",1978,NA,NA,NA,NA,NA
"‘Rest Stop’ on I-26 So. ","General City Coordinates Used","","","","Columbia","SC","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"'Rest Stop' ","General City Coordinates Used","on I-26 S.","","","Columbia","SC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Vicinity of Wade Hampton Hotel","Found","","","","Columbia","SC","Cruisy Area","Cruising Areas,Hotels",1980,NA,NA,NA,NA,NA
"U. of S.C. ","Found","Russel House & McKissick Library T-Rooms
","","","Columbia","SC","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Y.M.C.A.","General City Coordinates Used","","","","Columbia","SC","Cruisy Area,(M),(H)","Cruising Areas,Hotels",1980,NA,NA,NA,NA,NA
"Read House Tavern","Found","","","9th street was renamed Martin Luther King Blvd in 1981.","Chattanooga","TN","","Bars/Clubs,Hotels",1969,NA,NA,NA,NA,NA
"Read House Tavern","Found","","","9th street was renamed Martin Luther King Blvd in 1981.","Chattanooga","TN","","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Read House Tavern","Found","","","9th street was renamed Martin Luther King Blvd in 1981.","Chattanooga","TN","","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
